gene,virus_label,tagged,untagged
BSG,SARS-CoV,0.809469445290572,0.681239569073933
BSG,SARS-CoV-2,0.839563992613938,0.6820169479359
BSG,VSV,0.911927543637267,1.1150218871577
NRP1,SARS-CoV,0.948191131191294,1.15597402247037
NRP1,SARS-CoV-2,1.49820045986275,1.37033215409372
NRP1,VSV,0.760320728000385,1.16474813430011
NRP2,SARS-CoV,1.25440608982711,1.49434959295249
NRP2,SARS-CoV-2,1.35473527713446,2.10286402045832
NRP2,VSV,1.48161379157656,1.52964092541018
CLEC4M,SARS-CoV,1.76072340252378,1.37214047130852
CLEC4M,SARS-CoV-2,3.03245691571208,1.84395563131674
CLEC4M,VSV,0.875396026749108,1.46552439529536
ACE2,SARS-CoV,11.7134586083009,8.98191777061571
ACE2,SARS-CoV-2,13.1945185426169,11.5122326108794
ACE2,VSV,1.05380736053438,0.956982136232524
